pid,title,language,collection,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-03-031,SHA-03-031,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.1,"August, 1991",Omdurman,Concert Sharhabil Ahmed 'Ali Yagoub Kabashi Adam Khalil al Bushi Kamil Hussain and 'Adil Kukab,,yes,no,no
SHA-03-031,SHA-03-031,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.1,"August, 1991",امدرمان,حفلة شرحبيل احمد علي يعقوب كباشي ادم خليل البوشي كامل حسين عادل كوكاب,,yes,no,no
SHA-03-032,SHA-03-032,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.3 by 21.8,1969,Somalia,Group in front of airplane includes Abdel Aziz Muhammad Daoud Badi Muhammad al Tayeb and Somali Musician Mariam,"""Opening of Somali National Theater",yes,yes,yes
SHA-03-032,SHA-03-032,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 16.3 by 21.8,1969,الصومال,مجموعة امام طائرة من ضمنهم عبد العزيز محمد داوود بادي محمد الطيب وفنانة الصومالية مريم,"""افتتاح المسرح القومي الصومالي""",yes,yes,yes
SHA-03-033,SHA-03-033,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 14.7 by 20.3,1960s,Kenya,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-033,SHA-03-033,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,جورق كوبلير,photograph 14.7 by 20.3,1960s,كينيا,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-034,SHA-03-034,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Ministry of National Guidance,photograph 16.5 by 22.1,1965,"Omdurman, National Theater",Concert with children Sharhabil Ahmed Kamil Hussain Mahdi 'Ali Imam and Ahmed Ibrahim Daoud,,yes,no,no
SHA-03-034,SHA-03-034,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,وزارة الارشاد الوطني,photograph 16.5 by 22.1,1965,امدرمان، المسرح القومي,حفلة مع الاطفال شرحبيل احمد كامل حسين مهدي على امام احمد ابراهيم داوود,,yes,no,no
SHA-03-035,SHA-03-035,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Thermeles Deste,photograph 18 by 23.8,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed band with 'Ali Nur al Jalil Sharhabil Ahmed Abdel Latif Khidir Tayuba Hassan Saroji,,yes,no,no
SHA-03-035,SHA-03-035,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,ثيرميليس ديستي,photograph 18 by 23.8,1962,اثيوبيا، اديس ابابا,فرقة شرحبيل احمد مع علي نور الجليل شرحبيل احمد عبد اللطيف خضر طيوبا حسن سروجي,,yes,no,no
SHA-03-036,SHA-03-036,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.7 by 21.6,1965,"Tunisia, Tunis",Group of artists in the Eid al Marjan festival among them Muhammad Ahmed 'Awad Musa Muhammad Ibrahim Hassan Saroji Kamil Hussain al 'Aziz al Kabli Sharhabil Ahmed al Taj Muhammad (Director of the radio) 'Ali Shomo Osman Hussain and Rabih Hassan,,yes,yes,yes
SHA-03-036,SHA-03-036,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 16.7 by 21.6,1965,تونس، تونس,مجموعة الفنانين في مهرجان عيد المرجان من ضمنهم محمد احمد عوض موسى محمد ابراهيم حسن سروجي كامل حسين عبد العزيز الكابلي شرحبيل احمد التاج محمد (مدير الاذاعة) علي شمو عثمان حسين رابح حسن,,yes,yes,yes
SHA-03-037,SHA-03-037,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Studio KGS,photograph 13 by 18,1971-1972,"Khartoum, Mughrun garden",group of men and women new years eve party,,yes,no,no
SHA-03-037,SHA-03-037,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,استوديو كي جي ايس,photograph 13 by 18,1971-1972,الخرطوم، حديقة المقرن,مجموعة الرجال والنساء في حفلة رأس السنة,,yes,no,no
SHA-03-038,SHA-03-038,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Tunisian Ministry of Information,photograph 17.8 by 24,1965,Tunis,Band in front of the ocean,,yes,no,no
SHA-03-038,SHA-03-038,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام التونسي,photograph 17.8 by 24,1965,تونس,الفرقة امام البحر,,yes,no,no
SHA-03-039,SHA-03-039,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Sudanese Ministry of Information,photograph 16.5 by 21.4,1960,Kadaru,First band of Sharhabil Ahmed Kamil Hussain Hassan Basler and Muhammad Osman Ahmed Daoud. You can also see Abdel Gadir commander of the Police band,First performance of a jazz song,yes,yes,yes
SHA-03-039,SHA-03-039,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام السوداني,photograph 16.5 by 21.4,1960,الكدرو,اول فرقة شرحبيل احمد مع كامل حسين حسن بابكر عوض محمد عثمان احمد داوود ويرى عبد القادر قائد سلاح موسيقى البوليس,اول مرة غنى شرحبيل احمد جاز,yes,yes,yes
SHA-03-040,SHA-03-040,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Tunisian Ministry of Information,photograph 18.1 by 23.9,1965,"Tunisia, Tunis",Sharhabil Ahmed and band,,yes,no,no
SHA-03-040,SHA-03-040,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام التونسي,photograph 18.1 by 23.9,1965,تونس,شرحبيل احمد الفرقة,,yes,no,no
SHA-03-041,SHA-03-041,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 18.1 by 23.9,1965,Tunisia,Sharhabil Ahmed Kamil Hussain and Hassan Saroji dancing a traditional dance ,"The song performed was ""sabatu lay""",yes,yes,yes
SHA-03-041,SHA-03-041,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 18.1 by 23.9,1965,تونس,عيد المرجان شرحبيل احمد حسن سروجي كامل حسين في رقص شعبي ,"كان يغني اغنية ""ساباتو لى """,yes,yes,yes
SHA-03-042,SHA-03-042,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 20.9 by 29.6,1960s,Tanzania,Article about Sharhabil Ahmed,,yes,no,no
SHA-03-042,SHA-03-042,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 20.9 by 29.6,1960s,تنزانيا,مقالة عن شرحبيل احمد,,yes,no,no
SHA-03-043,SHA-03-043,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.5 by 21.4,1961,"Khartoum, Omdurman Sports Club",Beginning of the band Kamil Hussain Sharhabil Ahmed 'Ali Nur al Jalil Hussain Babikir Awad 'Ali Akrit Ahmed Daoud ,,yes,no,no
SHA-03-043,SHA-03-043,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 16.5 by 21.4,1961,امدرمان، نادي تربية,بداية الفرقة مع كامل حسين شرحبيل احمد علي نور الجليل حسين بابكر عوض علي اكرت احمد داوود,,yes,no,no
SHA-03-044,SHA-03-044,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-044,SHA-03-044,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-045,SHA-03-045,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-045,SHA-03-045,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-046,SHA-03-046,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 5 by 7.1,1960s,Khartoum,Sharhabil Ahmed,,yes,no,no
SHA-03-046,SHA-03-046,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 5 by 7.1,1960s,الخرطوم,شرحبيل احمد,,yes,no,no
SHA-03-047,SHA-03-047,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 4.5 by 5.7,1953,Khartoum,Sharhabil Ahmed,Taken for a library card,yes,no,no
SHA-03-047,SHA-03-047,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 4.5 by 5.7,1953,الخرطوم,شرحبيل احمد,اخذ للبطاقة مكتبية,yes,no,no
SHA-03-048,SHA-03-048,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.8,1960s,"Omdurman, Umbadah",Sharhabil Ahmed,,yes,no,no
SHA-03-048,SHA-03-048,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 13.8,1960s,امدرمان، امبدا,شرحبيل احمد,,yes,no,no
SHA-03-049,SHA-03-049,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 6.6 by 12.2,early 2000s,"Egypt, Cairo",advertisement for Sharhabil Ahmed concert,,yes,no,no
SHA-03-049,SHA-03-049,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 6.6 by 12.2,early 2000s,مصر، القاهرة,الاعلام لحفلة شرحبيل احمد,,yes,no,no
SHA-03-050,SHA-03-050,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,"Egypt, Cairo",Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-050,SHA-03-050,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,مصر، القاهرة,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-051,SHA-03-051,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000,"Egypt, Cairo",Sharhabil Ahmed and band performing ,,yes,no,no
SHA-03-051,SHA-03-051,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000,مصر، القاهرة,يعزف شرحبيل احمد وفرقته,,yes,no,no
SHA-03-052,SHA-03-052,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1980s,Emirates,Sharhabil Ahmed performing in concert benefitting Save the Children,,yes,no,no
SHA-03-052,SHA-03-052,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1980s,الامارات,يعزف شرحبيل احمد في حفلة لمنظمة أنقذوا الأطفال,,yes,no,no
SHA-03-053,SHA-03-053,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Muwahib Studio,photograph 8.8 by 13.8,1980s,Khartoum,Sharhabil Ahmed,,yes,no,no
SHA-03-053,SHA-03-053,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,استوديو مواهب,photograph 8.8 by 13.8,1980s,الخرطوم,شرحبيل احمد,,yes,no,no
SHA-03-054,SHA-03-054,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 13.9,1964-1965,Khartoum,Sharhabil Ahmed,,yes,no,no
SHA-03-054,SHA-03-054,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 13.9,1964-1965,الخرطوم,شرحبيل احمد,,yes,no,no
SHA-03-055,SHA-03-055,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15,2009," US, Washington DC",advertisement for Sharhabil Ahmed concert,,yes,no,no
SHA-03-055,SHA-03-055,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15,2009,الولايات المتحدة، واشينطون دي سي,الاعلام لحفلة شرحبيل احمد,,yes,no,no
SHA-03-056,SHA-03-056,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.5 by 15.6,1993,"Khartoum, Hilton",Sharhabil Ahmed with friends including Kamil Hussain and Adam Khalil,,yes,no,no
SHA-03-056,SHA-03-056,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.5 by 15.6,1993,الخرطوم، هلتون,شرحبيل احمد مع اصحاب من ضمنهم كامل حسين وادم خليل,,yes,no,no
SHA-03-057,SHA-03-057,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.2 by 15,1980s-1990s,"Khartoum, Residence of French Cultural Attache",Sharhabil Ahmed with group of people sitting at tables,,yes,no,no
SHA-03-057,SHA-03-057,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.2 by 15,1980s-1990s,الخرطوم، منزل الدبلوماسي الفرنسي,شرحبيل احمد مع مجموعة من الناس يقعدون في الطاولات,,yes,no,no
SHA-03-058,SHA-03-058,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.6 by 17.8,1996-1997,Nigeria,Shihab Sharhabil Su'ad and Abdel 'Aziz playing guitar,,yes,no,no
SHA-03-058,SHA-03-058,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.6 by 17.8,1996-1997,نجيريا,شهاب شرحبيل سعاد عبد العزيز يعزفون جيتار,,yes,no,no
SHA-03-059,SHA-03-059,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 14.4,1991-1992,"Khartoum, Khartoum University Publishing House",Sharhabil Ahmed concert celebration of a million books,,yes,no,no
SHA-03-059,SHA-03-059,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 14.4,1991-1992,الخرطوم، مكتب النشر,حفلة شرحبيل احمد. الاحتفال بالمليون كتاب,,yes,no,no
SHA-03-060,SHA-03-060,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-060,SHA-03-060,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-061,SHA-03-061,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan Concert Sharhabil Ahmed Kamil Hussain ٍShahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-061,SHA-03-061,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم شرحبيل احمد كامل حسين وشهرية شرحبيل وناهد شرحبيل,,yes,no,no
SHA-03-062,SHA-03-062,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1993,Khartoum,Ali Yagoub Adam Khalil Kamil Hussain performing,,yes,no,no
SHA-03-062,SHA-03-062,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1993,الخرطوم,يعزف علي يعقوب ادم خليل كامل حسين,,yes,no,no
SHA-03-063,SHA-03-063,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-063,SHA-03-063,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-064,SHA-03-064,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,late 1990s,Holland,Shihab Sharhabil and five others around a table,,yes,no,no
SHA-03-064,SHA-03-064,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,late 1990s,هولاندا,شهاب شرحبيل وخمسة اخرين يقعدون حول طاولة ,,yes,no,no
SHA-03-065,SHA-03-065,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan concert Adam Khalil 'Ali Yagoub Kamil Hussain,,yes,no,no
SHA-03-065,SHA-03-065,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان شرحبيل احمد ادم خليل علي يعقوب كامل حسين,,yes,no,no
SHA-03-066,SHA-03-066,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1995,"Bahri, Kafouri",concert with 'Ali Yagoub Shihab Sharhabil Adam Khalil and Kamil Hussain,,yes,no,no
SHA-03-066,SHA-03-066,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1995,بحري، كافوري,حفلة مع علي يعقوب شهاب شرحبيل ادم خليل كامل حسين,,yes,no,no
SHA-03-067,SHA-03-067,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.4,1991-1992,"Khartoum, Khartoum University Publishing House",Sharhabil Ahmed concert celebration of a million books,,yes,no,no
SHA-03-067,SHA-03-067,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.4,1991-1992,الخرطوم، مكتب النشر,حفلة شرحبيل احمد. الاحتفال بالمليون كتاب,,yes,no,no
SHA-03-068,SHA-03-068,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.4 by 10.4,1965,Tunisia,Syrian and Sudanese bands for festival in the hotel,,yes,no,no
SHA-03-068,SHA-03-068,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.4,1965,تونس,المبعوثين السوداني والسوري للحفلة في الفندق,,yes,no,no
SHA-03-069,SHA-03-069,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-069,SHA-03-069,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-070,SHA-03-070,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 13.9,1965,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-070,SHA-03-070,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 13.9,1965,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-071,SHA-03-071,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.2,1994,"Saudi Arabia, Jeddah, Sudanese Embassy",Sharhabil Ahmed and employees of the Sudanese EMbassy among them Salah Mustafa,,yes,no,no
SHA-03-071,SHA-03-071,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.2,1994,السعودية، جدة، السفارة السودانية,شرحبيل احمد وموظفين السفارة السودانية من ضمنهم صلاح مصطفى,,yes,no,no
SHA-03-072,SHA-03-072,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,French Cultural Center Khartoum,photograph 10.2 by 15,2000s,"Khartoum, French Cultural Center",Sharhabil Ahmed Muhammad Wardi and Minister Abdel Basil,,yes,no,no
SHA-03-072,SHA-03-072,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,مركز الثقافة الفرنسية الخرطوم,photograph 10.2 by 15,2000s,الخرطوم، مركز الثقافة الفرنسية,شرحبيل احمد محمد وردي والوزير عبد الباصل,,yes,no,no
SHA-03-073,SHA-03-073,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 14.1,1978,Khartoum,Concert Sharhabil Ahmed Kemal Kela Salah Bashir and Zakia Abu Gasim,,yes,no,no
SHA-03-073,SHA-03-073,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 14.1,1978,الخرطوم,حفلة من ضمنهم شرحبيل احمد وكمال كيلا وصلاح بشير وزاكية ابو قاسم,,yes,no,no
SHA-03-074,SHA-03-074,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-074,SHA-03-074,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-075,SHA-03-075,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15,2000s,Khartoum,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-075,SHA-03-075,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15,2000s,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-076,SHA-03-076,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 14.4,1995,,concert with Sharhabil Ahmed 'Ali Yagoub Shihab Sharhabil Adam Khalil and Kamil Hussain,,yes,no,no
SHA-03-076,SHA-03-076,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 14.4,1995,بحري، كافوري,حفلة من ضمنهم شرحبيل احمد. علي يعقوب شهاب شرحبيل ادم خليل كامل حسين,,yes,no,no
SHA-03-077,SHA-03-077,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1995,"Khartoum, Khartoum University Publishing House",Sharhabil Ahmed,,yes,no,no
SHA-03-077,SHA-03-077,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1995,الخرطوم، مكتب النشر,شرحبيل احمد,,yes,no,no
SHA-03-078,SHA-03-078,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15,2002-2004,"Khartoum, Coptic Club",Sharhabil Ahmed and Abdel Rahman al Abanodi,,yes,no,no
SHA-03-078,SHA-03-078,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15,2002-2004,الخرطوم، نادي القبطي,شرحبيل احمد وعبد الرحمن الابنودي,,yes,no,no
SHA-03-079,SHA-03-079,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.9,1965,Khartoum,Sharhabil Ahmed,,yes,no,no
SHA-03-079,SHA-03-079,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 13.9,1965,الخرطوم,شرحبيل احمد,,yes,no,no
SHA-03-080,SHA-03-080,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 13.9,1965,Khartoum,Sharhabil Ahmed with flute,,yes,no,no
SHA-03-080,SHA-03-080,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 13.9,1965,الخرطوم,شرحبيل احمد بالفلوت,,yes,no,no
SHA-03-081,SHA-03-081,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.9,1957-1959,Omdurman,Sharhabil Ahmed,"""In the first days before I began jazz music"" when he first joined Omdurman radio",yes,no,no
SHA-03-081,SHA-03-081,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 13.9,1957-1959,امدرمان,شرحبيل احمد,"""الايام الاولى قبل الدخول في موسيقى (جاز)""",yes,no,no
SHA-03-082,SHA-03-082,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.2 by 15.2,1960s,Khartoum,Sharhabil Ahmed and Mahdi 'Ali at wedding,,yes,no,no
SHA-03-082,SHA-03-082,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.2 by 15.2,1960s,الخرطوم,شرحبيل احمد ومهدي علي في حفل زواج,,yes,no,no
SHA-03-083,SHA-03-083,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,Khartoum Hilton ,Ramadan Concert Sharhabil Ahmed Kamil Hussain ٍShahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-083,SHA-03-083,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم شرحبيل احمد كامل حسين وشهرية شرحبيل وناهد شرحبيل,,yes,no,no
SHA-03-084,SHA-03-084,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.6,August 1991,Khartoum,Concert Kamil Hussain 'Ali Yagoub,,yes,no,no
SHA-03-084,SHA-03-084,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.6,August 1991,الخرطوم,حفلة كامل حسين علي يعقوب,,yes,no,no
SHA-03-085,SHA-03-085,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 12.6,October 27 1990,Khartoum,portrait of band with Kojaja Adam Khalil Sharhabil Ahmed 'Ali Yagoub Kamil Hussain Abdel Aziz,,yes,no,no
SHA-03-085,SHA-03-085,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 12.6,October 27 1990,الخرطوم,صورة من الفرقة من ضمنهم كوجاجا ادم خليل شرحبيل احمد علي يعقوب كامل حسين,,yes,no,no
SHA-04-001,SHA-04-001,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.7 by 12.7,1964-1965,"Khartoum, Educational Publishing House",Director Mahdi 'Ali Sharafi Chief Editor of Sibyan Rida Muhammad Osman Editor Muhammad Osman al Shaigi,,yes,no,no
SHA-04-001,SHA-04-001,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.7 by 12.7,1964-1965,الخرطوم، دار النشر التربوي,المدير مهدي علي شرفي سكرتير تحرير الصبيان رضا محمد عثمان المحرر محمد عثمان الشايقي,,yes,no,no
SHA-04-002,SHA-04-002,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.8,1964-1965,"Khartoum, Educational Publishing House",Sharhabil Ahmed and Sa'eed Gasimallah,,yes,no,no
